商品名,URL,小分類,効能効果,特徴,エキス,生薬,添加物,1日容量,用法用量,使用上の注意,用法に関する注意
消風散エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0701000734,消風散,慢性湿疹（分泌物の多いもの）,"消風散エキス細粒G「コタロー」は、体の内面から皮膚の病変を治していくお薬です。
　一般に局部に滲出物があって発赤したり、かさぶたをつくったりして、かゆみの強い湿疹に用いられます。
　近年は食生活や生活環境の変化に伴い、アトピー性皮膚炎のような体質的な湿疹が増えています。刺激性の飲食物を避けるなどの食生活に気をくばり、患部をいつも清潔にしておくことも大切です。",水製エキス(4.8g),ジオウ(2.4g)、セッコウ(2.4g)、トウキ(2.4g)、ゴボウシ(1.6g)、ソウジュツ(1.6g)、ハマボウフウ(1.6g)、モクツウ(1.6g)、ゴマ(1.2g)、チモ(1.2g)、カンゾウ(0.8g)、クジン(0.8g)、ケイガイ(0.8g)、センタイ(0.8g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,3包(7.2g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または2.4g：3回
15歳未満7歳以上：2／3包または1.6g：3回
7歳未満4歳以上：1／2包または1.2g：3回
4歳未満2歳以上：1／3包または0.8g：3回
2歳未満：1／4包または0.6g以下：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸が弱く下痢しやすい人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
消化器：食欲不振、胃部不快感、腹痛

3．服用後、次の症状があらわれることがありますので、このような症状の持続または増強が見られた場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　下痢
4．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
5．本剤の服用により、まれに症状が進行することもありますので、このような場合には、服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
生脈散エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1701000236,生薬主薬製剤,次の場合の滋養強壮：虚弱体質、肉体疲労、病中病後、胃腸虚弱、食欲不振、血色不良、冷え症、発育期,"生脈散という処方名は、体内エネルギーや体に必要な水分の消耗を防ぎ、弱くなった脈を回復するという働きを表しています。この処方は、大量の発汗後や肉体疲労時や消耗性疾患による全身の機能低下を改善します。滋養強壮作用があり、普段から顔色悪く、胃腸も丈夫でなく、冷え症の方に用いられるお薬です。
　生脈散エキス細粒G「コタロー」は、虚弱体質や肉体疲労、病中病後の体力の回復、胃腸虚弱、食欲不振、血色不良、冷え症、発育期などに、滋養強壮の効果があります。",バクモンドウエキス(0.9g)、ニンジンエキス(0.7g)、ゴミシエキス(0.4g),人参(3g)、麦門冬(2g)、五味子(1.1g),含水二酸化ケイ素、ステアリン酸マグネシウム、トウモロコシデンプン,2包(3g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
成人（15歳以上）：1包または1.5g：2回
15歳未満8歳以上：1／2包または0.75g：2回
8歳未満：服用しないでください

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：食欲不振、胃部不快感、下痢

3．しばらく服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください","（1）定められた用法・用量を厳守してください。
（2）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（3）本剤は、8歳未満の小児には服用させないでください。"
逍遙散エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1501000228,逍遙散,体力中等度以下で、肩がこり、疲れやすく精神不安などの精神神経症状、ときに便秘の傾向のあるものの次の諸症：冷え症、虚弱体質、不眠症、神経症、更年期障害、月経不順、月経困難、血の道症,"昨今の社会生活では、ゆとりを持つことが難しく、ストレスがたまり冷えや便通などを我慢しがちになります。これらの積み重ねにより生活のリズムが崩れることで、肩がこる、疲れやすい、ゆううつになる、落ち着きがなくなるなど、いわゆる不定愁訴に悩む方が増えています。
　逍遙散エキス細粒G「コタロー」は、生理不順、生理痛といった女性に特有の症状のほか、冷え症に効果があります。また、不眠症や神経症、更年期障害にも用いられます。",水製エキス(3g),サイコ(2.4g)、シャクヤク(2.4g)、トウキ(2.4g)、ビャクジュツ(2.4g)、ブクリョウ(2.4g)、カンゾウ(1.2g)、ハッカ(0.8g)、ショウキョウ(0.4g),含水二酸化ケイ素、ステアリン酸マグネシウム、アメ粉,3包(4.8g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または1.6g：3回
15歳未満7歳以上：2／3包または1.1g：3回
7歳未満4歳以上：1／2包または0.8g：3回
4歳未満2歳以上：1／3包または0.5g：3回
2歳未満：1／4包または0.4g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸の弱い人。
　（4）高齢者。
　（5）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
　（6）次の症状のある人。
　　むくみ
　（7）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ
消化器：吐き気・嘔吐、食欲不振

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
ショーケン分包「小児用」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0601009709,小建中湯,体質虚弱で疲労しやすく、血色がすぐれず、腹痛、動悸、手足のほてり、冷え、頻尿及び多尿などのいずれかを伴う次の諸症：小児虚弱体質、小児夜尿症、慢性胃腸炎、夜なき、神経質、疲労倦怠,"昔に比べて現代は、屋外でのびのびと遊べる環境が少なくなり、体格は立派でも虚弱体質のこどもが多くなってきているようです。
　その結果、おなかが弱い、神経質になりがち、疲れやすいなどの症状が現れやすくなります。
　ショーケン分包「小児用」はこのようなお子さまに用いられる漢方エキス製剤です。また、お子さまの夜尿症にも用いられます。",水製エキス(1.25g),コウイ(5g)、シャクヤク(1.5g)、ケイヒ(1g)、タイソウ(1g)、カンゾウ(0.5g)、ショウキョウ(0.25g),ステアリン酸マグネシウム、トウモロコシデンプン、プルラン、メタケイ酸アルミン酸マグネシウム,3包(6.75g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
7歳未満4歳以上：1包：3回
4歳未満2歳以上：2／3包：3回
2歳未満：1／2包：3回","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）吐き気・嘔吐のある人。
　（4）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
辛夷清肺湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1401000076,辛夷清肺湯,体力中等度以上で、濃い鼻汁が出て、ときに熱感を伴うものの次の諸症：鼻づまり、慢性鼻炎、蓄膿症（副鼻腔炎）,"本剤は、漢方の古典「外科正宗」（明代）収載の処方にもとづいてつくられたエキスを、飲みやすく細粒としたものです。
　最近は食生活や環境の変化などにより、鼻がつまって、スッキリしない方が増えています。
　辛夷清肺湯エキス細粒G「コタロー」は、濃厚な鼻汁が出たり、鼻がつまり、乾燥気味で熱感があるような蓄膿症などの鼻症状に用いられる漢方薬です。",水製エキス(6g),セッコウ(4g)、バクモンドウ(4g)、オウゴン(2.4g)、サンシシ(2.4g)、チモ(2.4g)、ビャクゴウ(2.4g)、シンイ(1.6g)、ビワヨウ(1.6g)、ショウマ(0.8g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,3包(9.6g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または3.2g：3回
15歳未満7歳以上：2／3包または2.1g：3回
7歳未満4歳以上：1／2包または1.6g：3回
4歳未満2歳以上：1／3包または1.1g：3回
2歳未満：1／4包または0.8g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸虚弱で冷え症の人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
消化器：食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。
腸間膜静脈硬化症：長期服用により、腹痛、下痢、便秘、腹部膨満等が繰り返しあらわれる。

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
辛夷清肺湯エキス錠A「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2401000084,辛夷清肺湯,体力中等度以上で、濃い鼻汁が出て、ときに熱感を伴うものの次の諸症：鼻づまり、慢性鼻炎、蓄膿症（副鼻腔炎）,"本剤は、漢方の古典「外科正宗」（明代）収載の処方にもとづいてつくられたエキスを、飲みやすく錠剤としたものです。
　最近は食生活や環境の変化などにより、鼻がつまって、スッキリしない方が増えています。
　辛夷清肺湯エキス錠A「コタロー」は、濃厚な鼻汁が出たり、鼻がつまり、乾燥気味で熱感があるような蓄膿症などの鼻症状に用いられる漢方薬です。",水製エキス(2.7g),セッコウ(2.5g)、バクモンドウ(2.5g)、オウゴン(1.5g)、サンシシ(1.5g)、チモ(1.5g)、ビャクゴウ(1.5g)、シンイ(1g)、ビワヨウ(1g)、ショウマ(0.5g),酸化チタン、ステアリン酸マグネシウム、タルク、低置換度ヒドロキシプロピルセルロース、トウモロコシデンプン、ヒプロメロース(ヒドロキシプロピルメチルセルロース)、アメ粉、メタケイ酸アルミン酸マグネシウム、カルナウバロウ,8錠,"1日2回朝夕、食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：4錠：2回
15歳未満7歳以上：3錠：2回
7歳未満5歳以上：2錠：2回
5歳未満：服用しないでください","■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）体の虚弱な人（体力の衰えている人、体の弱い人）。
　（4）胃腸虚弱で冷え症の人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
消化器：食欲不振、胃部不快感

　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
間質性肺炎：階段を上ったり、少し無理をしたりすると息切れがする・息苦しくなる、空せき、発熱等がみられ、これらが急にあらわれたり、持続したりする。
肝機能障害：発熱、かゆみ、発疹、黄疸（皮膚や白目が黄色くなる）、褐色尿、全身のだるさ、食欲不振等があらわれる。
腸間膜静脈硬化症：長期服用により、腹痛、下痢、便秘、腹部膨満等が繰り返しあらわれる。

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください","（1）定められた用法・用量を厳守してください。
（2）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。"
神仙太乙膏「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1401000077,神仙太乙膏,かゆみ、軽いとこずれ、切傷、虫刺され、火傷,"広く応用できるところから「神仙」の名がついたといわれる神仙太乙膏は、漢方の外用軟膏の中でも、広い範囲の適応をもつ皮膚外用軟膏です。皮膚のカユミや炎症を鎮め、乾燥した皮膚を潤したり、傷ついた皮膚の再生に効果があり、皮膚炎によるカユミから寝たきりの方にできやすい床ずれまで、いろいろなケースにご使用いただけます。また、日常の皮膚のトラブルである、切り傷、虫刺され、やけどにもご使用いただけます。
　一家にひとつ皮膚への漢方常備薬としていただけるのが神仙太乙膏「コタロー」です。",,ゴマ油(74.51g)、ミツロウ(29.8g)、ケイヒ(2.38g)、ゲンジン(2.38g)、ジオウ(2.38g)、シャクヤク(2.38g)、ダイオウ(2.38g)、トウキ(2.38g)、ビャクシ(2.38g),,100g(本品1gは原生薬約1.21gに相当),患部を清潔にしたのち、適量を患部に塗布するか、ガーゼ等に塗布し、患部に貼付してください。,"■相談すること
 

 1．次の人は使用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）薬などによりアレルギー症状を起こしたことがある人。
　（3）湿潤・ただれのひどい人。
　（4）傷口が化膿している人。
　（5）患部が広範囲の人。
2．使用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに使用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ

3．5～6日間使用しても症状がよくならない場合は使用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください","（1）小児に使用させる場合には、保護者の指導監督のもとに使用させてください。
（2）外用にのみ使用してください。
（3）目に入らないよう注意してください。"
参蘇飲エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1101000016,参蘇飲,体力虚弱で、胃腸が弱いものの次の諸症：感冒、せき,"西洋薬のかぜ薬（あるいは解熱薬）を飲むと、決まって食欲がなくなったり、お腹が痛くなるような方がいらっしゃいます。したがって、胃が荒れやすい方は、胃薬を併用することになります。そんな方にぜひお勧めしたいのが、漢方のかぜ薬・参蘇飲エキス細粒G「コタロー」です。
　本剤は、普段からあまり体が丈夫でなく、胃腸の弱い方などがかぜをひいた場合に用いられる漢方薬です。また、せきや痰がいつまでもとれないような場合にも用いられます。",水製エキス(4.32g),ハンゲ(2.4g)、ブクリョウ(2.4g)、カッコン(1.6g)、キキョウ(1.6g)、ゼンコ(1.6g)、チンピ(1.6g)、キジツ(1.2g)、ソヨウ(1.2g)、タイソウ(1.2g)、ニンジン(1.2g)、モッコウ(1.2g)、カンゾウ(0.8g)、ショウキョウ(0.8g),含水二酸化ケイ素、ステアリン酸マグネシウム、アメ粉,3包(6g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または2.0g：3回
15歳未満7歳以上：2／3包または1.3g：3回
7歳未満4歳以上：1／2包または1.0g：3回
4歳未満2歳以上：1／3包または0.7g：3回
2歳未満：1／4包または0.5g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ

3．1週間位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
参苓白朮散料エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0701000735,参苓白朮散,やせて顔色が悪く、食欲がなく下痢が続く傾向があるものの次の諸症：食欲不振、慢性下痢、病後の体力低下、疲労倦怠,"体が疲れやすくて、食欲がない。食後胃のあたりがはってきたり、食べ過ぎたり油ものを食べると下痢をする。もう少し太りたいのに、太れない。このような症状は、胃腸虚弱で、消化や吸収がうまく行われていないために起こります。下痢をしたり、栄養を吸収できないと、せっかく食べた美味しいものも身に付かず、太れなかったり、体が疲れやすくなったりします。
　参苓白朮散料エキス細粒G「コタロー」は、疲れやすく、やせて顔色も悪い方の胃腸の働きを調節して、下痢や食欲不振を改善する薬です。",水製エキス(3.9g),ヨクイニン(4g)、ビャクジュツ(3.2g)、ブクリョウ(3.2g)、サンヤク(2.4g)、ニンジン(2.4g)、キキョウ(1.6g)、シュクシャ(1.6g)、ヘンズ(1.6g)、レンニク(1.6g)、カンゾウ(1.2g),含水二酸化ケイ素、ステアリン酸マグネシウム、トウモロコシデンプン,3包(6g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または2.0g：3回
15歳未満7歳以上：2／3包または1.3g：3回
7歳未満4歳以上：1／2包または1.0g：3回
4歳未満2歳以上：1／3包または0.7g：3回
2歳未満：1／4包または0.5g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）高齢者。
　（4）次の症状のある人。
　　むくみ
　（5）次の診断を受けた人。
　　高血圧、心臓病、腎臓病
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
　まれに次の重篤な症状が起こることがあります。その場合は直ちに医師の診療を受けてください。

［症状の名称：症状］
偽アルドステロン症：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。
ミオパチー：手足のだるさ、しびれ、つっぱり感やこわばりに加えて、脱力感、筋肉痛があらわれ、徐々に強くなる。

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください
4．長期連用する場合には、医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
清湿化痰湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2501000007,清湿化痰湯,体力中等度以下で、背中に冷感があり痛みがあるものの次の諸症：神経痛、関節痛、筋肉痛,"本剤は、体の余分な水分である湿痰いわゆる水毒が原因で、体のあちこちが痛むものに用いられてきた漢方薬のひとつです。背中の冷え、胸や背部の痛み、せきをすると脇の下が引きつり、痛みを訴える時に用いるとよいといわれています。また、手足や肩、腰の痛みなどにも用いられます。
　清湿化痰湯エキス細粒G「コタロー」は、体の余分な水分を取り除くことにより、神経痛、関節痛、筋肉痛を改善する漢方薬です。",水製エキス(6g),ソウジュツ(3.2g)、ハンゲ(3.2g)、ブクリョウ(3.2g)、オウゴン(2.4g)、チンピ(2.4g)、テンナンショウ(2.4g)、キョウカツ(1.2g)、ハクガイシ(1.2g)、ビャクシ(1.2g)、カンゾウ(0.8g)、ショウキョウ(0.8g),含水二酸化ケイ素、ステアリン酸マグネシウム,3包(7.2g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または2.4g：3回
15歳未満7歳以上：2／3包または1.6g：3回
7歳未満4歳以上：1／2包または1.2g：3回
4歳未満2歳以上：1／3包または0.8g：3回
2歳未満：1／4包または0.6g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
清上蠲痛湯エキス細粒G「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1301000303,清上蠲痛湯,体力に関わらず使用でき、慢性化した痛みのあるものの次の諸症：頭痛、顔面痛,"日常生活の中で困るのが頭痛です。慢性化すると表情まで暗くなり、厄介なものです。その原因はいろいろあり、なかなか特定できません。また、最近多くなっているのが顔面痛です。原因不明の三叉神経痛が多いのですが、虫歯や副鼻腔炎から誘発される顔面の痛み、帯状疱疹後神経痛のように三叉神経に沿って痛みが出るもの、外傷後の顔面痛がありますが、特に突発的に起こる顔面痛はQOL（生活の質）を著しく低下させます。
　そのような時に応用されるのが、清上けん痛湯エキス細粒G「コタロー」です。漢方では、頭痛（頭部の痛み）薬に位置付けられており、痛みをとる作用が強く、痛みで高ぶった気分を鎮めてくれます。",水製エキス(5.4g),オウゴン(2.4g)、キョウカツ(2g)、センキュウ(2g)、ソウジュツ(2g)、トウキ(2g)、ドクカツ(2g)、バクモンドウ(2g)、ビャクシ(2g)、ボウフウ(2g)、キクカ(1.2g)、マンケイシ(1.2g)、カンゾウ(0.8g)、サイシン(0.8g)、ショウキョウ(0.8g),含水二酸化ケイ素、ステアリン酸マグネシウム,3包(6.6g),"食前または食間に服用してください。
食間とは……食後2～3時間を指します。

［年齢：1回量：1日服用回数］
大人（15歳以上）：1包または2.2g：3回
15歳未満7歳以上：2／3包または1.5g：3回
7歳未満4歳以上：1／2包または1.1g：3回
4歳未満2歳以上：1／3包または0.7g：3回
2歳未満：1／4包または0.6g：3回

（大入り剤に添付のサジは、すり切り一杯で約0.6gです）","■してはいけないこと
（守らないと現在の症状が悪化したり、副作用が起こりやすくなります）
 

 次の人は服用しないでください
　生後3ヵ月未満の乳児。
 


 ■相談すること
 

 1．次の人は服用前に医師、薬剤師または登録販売者に相談してください
　（1）医師の治療を受けている人。
　（2）妊婦または妊娠していると思われる人。
　（3）胃腸の弱い人。
　（4）今までに薬などにより発疹・発赤、かゆみ等を起こしたことがある人。
2．服用後、次の症状があらわれた場合は副作用の可能性がありますので、直ちに服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください

［関係部位：症状］
皮膚：発疹・発赤、かゆみ

3．1ヵ月位服用しても症状がよくならない場合は服用を中止し、この文書を持って医師、薬剤師または登録販売者に相談してください","（1）小児に服用させる場合には、保護者の指導監督のもとに服用させてください。
（2）1歳未満の乳児には、医師の診療を受けさせることを優先し、止むを得ない場合にのみ服用させてください。"
